Project,Date,Hours
Home-Miscellaneous,2014-08-20,1.65
Home-Miscellaneous,2014-08-24,0.26
Home-Miscellaneous,2014-08-26,2.50
Home-Miscellaneous,2014-08-31,0.92
Home-Miscellaneous,2014-09-10,0.39
Home-Miscellaneous,2014-09-11,1.34
Home-planned,2014-08-15,1.49
Home-planned,2014-08-16,1.08
Home-planned,2014-08-17,0.45
Home-planned,2014-08-18,3.96
Home-planned,2014-08-20,1.36
Home-planned,2014-08-23,1.36
Home-planned,2014-08-24,3.54
Home-planned,2014-08-25,2.59
Home-planned,2014-08-26,0.32
Home-planned,2014-08-27,0.01
Home-planned,2014-08-31,0.01
Home-planned,2014-09-01,2.21
Home-planned,2014-09-02,0.89
Home-planned,2014-09-03,1.47
Home-planned,2014-09-04,0.30
Home-planned,2014-09-05,0.33
Home-planned,2014-09-06,0.70
Home-planned,2014-09-07,3.27
Home-planned,2014-09-09,0.11
Home-planned,2014-09-10,1.67
Home-planned,2014-09-11,1.10
Home-planned,2014-09-13,1.95
break,2014-08-15,1.21
break,2014-08-18,0.75
break,2014-08-20,1.64
break,2014-08-21,0.55
break,2014-08-22,2.80
break,2014-08-23,3.10
break,2014-08-24,1.13
break,2014-08-25,0.86
break,2014-08-26,0.56
break,2014-08-27,1.15
break,2014-08-28,0.84
break,2014-08-29,4.00
break,2014-08-31,0.43
break,2014-09-01,1.24
break,2014-09-02,0.80
break,2014-09-03,0.72
break,2014-09-05,14.96
break,2014-09-07,2.62
break,2014-09-08,1.74
break,2014-09-09,0.40
break,2014-09-10,0.41
break,2014-09-11,0.63
break,2014-09-12,0.38
break,2014-09-13,0.83
work,2014-08-21,3.62
work,2014-08-25,0.47
work,2014-08-26,1.76
work,2014-08-27,2.72
work,2014-08-28,4.23
work,2014-08-29,3.00
work,2014-08-30,1.59
work,2014-09-02,10.29
work,2014-09-03,4.71
work,2014-09-04,0.34
work,2014-09-08,4.02
work,2014-09-09,3.47
work,2014-09-11,1.03
work,2014-09-12,1.08
